date,rep,treatment,genotype,stat_label,dil_t0,count_t0,titer_t0,dil_t2,count_t2,titer_t2,rate,rate_per_h,rate_corrected,rate_corrected_neg,rate_corrected_neg_cell
Sept212015,1,anc,A12,A12,-3,290,2.58E+05,-2,30,3.00E+03,-4.45,-3.99,-3.4181,3.4181,3.96997E-08
Sept212015,2,anc,A12,A12,-3,245,2.18E+05,-2,65,6.50E+03,-3.51,-3.14,-2.7996,2.7996,3.25152E-08
Sept212015,1,anc,A7,A7,-3,466,4.14E+05,-2,234,2.34E+04,-2.87,-2.57,-2.2919,2.2919,2.66193E-08
Sept212015,2,anc,A7,A7,-3,452,4.02E+05,-2,181,1.81E+04,-3.10,-2.78,-2.6428,2.6428,3.06947E-08
Sept212015,1,anc,B2,B2,-3,299,2.66E+05,-2,134,1.34E+04,-2.99,-2.68,-2.1232,2.1232,2.46598E-08
Sept212015,2,anc,B2,B2,-3,263,2.34E+05,-2,152,1.52E+04,-2.73,-2.45,-1.9629,1.9629,2.27979E-08
Sept212015,1,anc,D9,D9,-3,202,1.80E+05,-2,97,9.70E+03,-2.92,-2.61,-1.9753,1.9753,2.29424E-08
Sept212015,2,anc,D9,D9,-3,205,1.82E+05,-2,85,8.50E+03,-3.07,-2.74,-2.1287,2.1287,2.47239E-08
Sept212015,1,anc,E4,E4,-3,306,2.72E+05,-2,171,1.71E+04,-2.77,-2.48,-2.2135,2.2135,2.57085E-08
Sept212015,2,anc,E4,E4,-3,279,2.48E+05,-2,202,2.02E+04,-2.51,-2.25,-1.8593,1.8593,2.15949E-08
Sept212015,1,anc,G9,G9,-3,217,1.93E+05,-2,90,9.00E+03,-3.06,-2.74,-2.4847,2.4847,2.88579E-08
Sept212015,2,anc,G9,G9,-3,234,2.08E+05,-2,75,7.50E+03,-3.32,-2.98,-2.3063,2.3063,2.67868E-08
Sept212015,1,anc,1A,xanc_a,-3,248,2.20E+05,-3,149,1.49E+05,-0.39,-0.35,0.0858,-0.0858,-9.96916E-10
Sept212015,2,anc,1A,xanc_a,-3,253,2.25E+05,-3,150,1.50E+05,-0.40,-0.36,0.0548,-0.0548,-6.36473E-10
Sept212015,3,anc,1A,xanc_b,-3,241,2.14E+05,-3,169,1.69E+05,-0.24,-0.21,-0.1180,0.1180,1.37037E-09
Sept212015,4,anc,1A,xanc_b,-3,253,2.25E+05,-3,176,1.76E+05,-0.25,-0.22,-0.1262,0.1262,1.46597E-09
Sept212015,5,anc,1A,xanc_c,-3,249,2.21E+05,-3,184,1.84E+05,-0.18,-0.17,0.1261,-0.1261,-1.46417E-09
