Date,Time,Host,Final,Competitor 1 ,Flask,T0 Dilution Blue,T0 Blue,T0 Blue PFU/ml,T0 Clear Diltuion,T0 Clear,T0 Clear PFU/ml,T Final Dilution Blue,Tf Blue ,Tf PFU/ml Blue,Tf Dilution Clear,Tf Clear,Tf PFU/ml Clear,Mb (per h),Mc (per h),Wapprox,Mbar,W=Mb/Mc,W=Mc/Mb,r (b-c),r (c-b)
Aug_17_2012,8hr,606,yes,B2-13.1,1,0.01,107,10700,0.01,79,7900,0,36,36000000,0,26,26000000,1.02,1.01237,0.99728,1.014,1,1,0.0028,-0.0028
Aug_17_2012,8hr,606,yes,B2-13.1,2,0.01,97,9700,0.01,89,8900,0,27,27000000,0,23,23000000,0.99,0.98215,0.99059,0.9871,1.01,0.99,0.0093,-0.0093
Aug_17_2012,8hr,606,yes,B2-13.1,3,0.01,108,10800,0.01,65,6500,0,27,27000000,0,37,37000000,0.98,1.08086,1.10015,1.027,0.9,1.11,-0.1029,0.1029
Aug_17_2012,8hr,606,yes,B2-13.1,4,0.01,102,10200,0.01,70,7000,0,45,45000000,0,32,32000000,1.05,1.05345,1.00423,1.0508,1,1,-0.0044,0.0044
Aug_17_2012,8hr,ECC4,yes,B2-13.1,1,0.01,108,10800,0.01,85,8500,0.01,145,14500,0.001,151,151000,0.04,0.35965,2.20185,0.2686,0.1,9.77,-0.3228,0.3228
Aug_17_2012,8hr,ECC4,yes,B2-13.1,2,0.01,100,10000,0.01,81,8100,0.01,86,8600,0.001,107,107000,-0.02,0.32262,2.47328,0.2318,-0.06,-17.11,-0.3415,0.3415
Aug_17_2012,8hr,ECC4,yes,B2-13.1,3,0.01,83,8300,0.01,80,8000,0.01,87,8700,0.001,231,231000,0.01,0.42037,2.23349,0.336,0.01,71.45,-0.4145,0.4145
Aug_17_2012,8hr,ECC4,yes,B2-13.1,4,0.01,112,11200,0.01,98,9800,0.01,80,8000,0.001,146,146000,-0.04,0.33765,2.52462,0.2491,-0.12,-8.03,-0.3797,0.3797
Oct_16_2012,8hr,606,yes,G9-11.3,1,0.01,315,31500,0.01,51,5100,0.0001,86,860000,0.00001,100,10000000,0.41,0.94764,1.7508,0.7116,0.44,2.29,-0.5343,0.5343
Oct_16_2012,8hr,606,yes,G9-11.3,2,0.01,311,31100,0.01,52,5200,0.0001,99,990000,0.00001,151,15100000,0.43,0.99672,1.7406,0.7618,0.43,2.3,-0.5642,0.5642
Oct_16_2012,8hr,606,yes,G9-11.3,3,0.01,270,27000,0.01,41,4100,0.0001,61,610000,0.00001,132,13200000,0.39,1.00962,1.81355,0.762,0.39,2.59,-0.6199,0.6199
Oct_16_2012,8hr,606,yes,G9-11.3,4,0.01,284,28400,0.01,52,5200,0.0001,96,960000,0.00001,157,15700000,0.44,1.00159,1.72382,0.7758,0.44,2.28,-0.5615,0.5615
Oct_16_2012,8hr,606,yes,G9-11.3,5,0.01,278,27800,0.01,60,6000,0.0001,177,1770000,0.00001,111,11100000,0.52,0.94037,1.567,0.7428,0.55,1.81,-0.4212,0.4212
Oct_16_2012,8hr,606,yes,G9-11.3,6,0.01,304,30400,0.01,50,5000,0.0001,90,900000,0.00001,147,14700000,0.42,0.99827,1.75525,0.761,0.42,2.36,-0.5748,0.5748
Oct_16_2012,8hr,606,yes,G9-11.3,7,0.01,278,27800,0.01,45,4500,0.0001,163,1630000,0.00001,139,13900000,0.51,1.00445,1.64194,0.7719,0.51,1.97,-0.4955,0.4955
Oct_16_2012,8hr,606,yes,G9-11.3,8,0.01,275,27500,0.01,45,4500,0.0001,35,350000,0.00001,144,14400000,0.32,1.00886,1.90118,0.7667,0.32,3.17,-0.6909,0.6909
Oct_16_2012,8hr,ECC4,yes,G9-11.3,1,0.01,305,30500,0.01,55,5500,0.0001,2,20000,0,58,58000000,-0.05,1.15793,2.3115,0.9231,-0.05,-21.95,-1.2107,1.2107
Oct_16_2012,8hr,ECC4,yes,G9-11.3,2,0.01,314,31400,0.01,60,6000,0.0001,3,30000,0,81,81000000,-0.01,1.18881,2.24413,0.9601,0,-208.51,-1.1945,1.1945
Oct_16_2012,8hr,ECC4,yes,G9-11.3,3,0.01,308,30800,0.01,32,3200,0.001,9,3000,0.00001,381,38100000,-0.29,1.1731,2.66822,0.8777,-0.25,-4.03,-1.4642,1.4642
