Date,Time,Host,Final,Competitor 1 ,Flask,Mb (per h),Mc (per h),Mbar,r (b-c),r (c-b),label,sel_rate,growth
Aug_17_2012,8hr,606,yes,B2-13.1,1,1.02,1.01237,1.014,0.0028,-0.0028,t,-0.0028,1.01237
Aug_17_2012,8hr,606,yes,B2-13.1,2,0.99,0.98215,0.9871,0.0093,-0.0093,t,-0.0093,0.98215
Aug_17_2012,8hr,606,yes,B2-13.1,3,0.98,1.08086,1.027,-0.1029,0.1029,t,0.1029,1.08086
Aug_17_2012,8hr,606,yes,B2-13.1,4,1.05,1.05345,1.0508,-0.0044,0.0044,t,0.0044,1.05345
Aug_17_2012,8hr,ECC4,yes,B2-13.1,1,0.04,0.35965,0.2686,-0.3228,0.3228,t,0.3228,0.35965
Aug_17_2012,8hr,ECC4,yes,B2-13.1,2,-0.02,0.32262,0.2318,-0.3415,0.3415,t,0.3415,0.32262
Aug_17_2012,8hr,ECC4,yes,B2-13.1,3,0.01,0.42037,0.336,-0.4145,0.4145,t,0.4145,0.42037
Aug_17_2012,8hr,ECC4,yes,B2-13.1,4,-0.04,0.33765,0.2491,-0.3797,0.3797,t,0.3797,0.33765
Oct_16_2012,8hr,606,yes,G9-11.3,1,0.41,0.94764,0.7116,-0.5343,0.5343,t,0.5343,0.94764
Oct_16_2012,8hr,606,yes,G9-11.3,2,0.43,0.99672,0.7618,-0.5642,0.5642,t,0.5642,0.99672
Oct_16_2012,8hr,606,yes,G9-11.3,3,0.39,1.00962,0.762,-0.6199,0.6199,t,0.6199,1.00962
Oct_16_2012,8hr,606,yes,G9-11.3,4,0.44,1.00159,0.7758,-0.5615,0.5615,t,0.5615,1.00159
Oct_16_2012,8hr,606,yes,G9-11.3,5,0.52,0.94037,0.7428,-0.4212,0.4212,t,0.4212,0.94037
Oct_16_2012,8hr,606,yes,G9-11.3,6,0.42,0.99827,0.761,-0.5748,0.5748,t,0.5748,0.99827
Oct_16_2012,8hr,606,yes,G9-11.3,7,0.51,1.00445,0.7719,-0.4955,0.4955,t,0.4955,1.00445
Oct_16_2012,8hr,606,yes,G9-11.3,8,0.32,1.00886,0.7667,-0.6909,0.6909,t,0.6909,1.00886
Oct_16_2012,8hr,ECC4,yes,G9-11.3,1,-0.05,1.15793,0.9231,-1.2107,1.2107,t,1.2107,1.15793
Oct_16_2012,8hr,ECC4,yes,G9-11.3,2,-0.01,1.18881,0.9601,-1.1945,1.1945,t,1.1945,1.18881
Oct_16_2012,8hr,ECC4,yes,G9-11.3,3,-0.29,1.1731,0.8777,-1.4642,1.4642,t,1.4642,1.1731
Oct_16_2012,8hr,ECC4,yes,G9-11.3,4,-0.15,1.03504,0.8006,-1.1872,1.1872,t,1.1872,1.03504
Oct_16_2012,8hr,ECC4,yes,G9-11.3,5,0.22,1.14828,0.8977,-0.9263,0.9263,t,0.9263,1.14828
Oct_16_2012,8hr,ECC4,yes,G9-11.3,6,-0.05,1.13202,0.8874,-1.1819,1.1819,t,1.1819,1.13202
Oct_16_2012,8hr,ECC4,yes,G9-11.3,7,-0.33,1.09978,0.8708,-1.4288,1.4288,t,1.4288,1.09978
Oct_16_2012,8hr,ECC4,yes,G9-11.3,8,0.16,1.11676,0.818,-0.9616,0.9616,t,0.9616,1.11676
Oct_26_2012,8hr,606,yes,A12-10.6,1,0.69,1.45103,1.0547,-0.7583,0.7583,t,0.7583,1.45103
Oct_26_2012,8hr,606,yes,A12-10.6,2,0.81,1.37225,1.0142,-0.5653,0.5653,t,0.5653,1.37225
Oct_26_2012,8hr,606,yes,A12-10.6,3,0.59,1.37526,0.9916,-0.7864,0.7864,t,0.7864,1.37526
Oct_26_2012,8hr,606,yes,A12-10.6,4,0.78,1.46485,1.0943,-0.6845,0.6845,t,0.6845,1.46485
Oct_26_2012,8hr,606,yes,A12-10.6,5,0.65,1.43343,1.083,-0.7839,0.7839,t,0.7839,1.43343
Oct_26_2012,8hr,606,yes,A12-10.6,6,0.76,1.4188,1.0127,-0.66,0.66,t,0.66,1.4188
Oct_26_2012,8hr,606,yes,A12-10.6,7,0.77,1.40148,0.9844,-0.6293,0.6293,t,0.6293,1.40148
Oct_26_2012,8hr,606,yes,A12-10.6,8,0.68,1.41507,1.0507,-0.7383,0.7383,t,0.7383,1.41507
Oct_26_2012,8hr,ECC4,yes,A12-10.6,1,-0.25,0.95567,0.6243,-1.2033,1.2033,t,1.2033,0.95567
Oct_26_2012,8hr,ECC4,yes,A12-10.6,2,-0.26,1.22734,0.8446,-1.4896,1.4896,t,1.4896,1.22734
Oct_26_2012,8hr,ECC4,yes,A12-10.6,5,-0.1,1.045,0.7015,-1.1491,1.1491,t,1.1491,1.045
Oct_26_2012,8hr,ECC4,yes,A12-10.6,6,-0.04,0.94121,0.5773,-0.9833,0.9833,t,0.9833,0.94121
Oct_26_2012,8hr,ECC4,yes,A12-10.6,7,-0.17,1.1285,0.7197,-1.2954,1.2954,t,1.2954,1.1285
Nov_05_2012,8hr,606,yes,E4-13.2,1,0.7,0.79681,0.7427,-0.101,0.101,t,0.101,0.79681
Nov_05_2012,8hr,606,yes,E4-13.2,2,0.85,1.00534,0.9304,-0.1598,0.1598,t,0.1598,1.00534
Nov_05_2012,8hr,606,yes,E4-13.2,3,0.8,0.93857,0.8688,-0.1419,0.1419,t,0.1419,0.93857
Nov_05_2012,8hr,606,yes,E4-13.2,4,0.8,0.97571,0.8973,-0.1738,0.1738,t,0.1738,0.97571
Nov_05_2012,8hr,606,yes,E4-13.2,5,0.74,0.93084,0.842,-0.1906,0.1906,t,0.1906,0.93084
Nov_05_2012,8hr,606,yes,E4-13.2,6,0.87,1.08553,0.9603,-0.2186,0.2186,t,0.2186,1.08553
Nov_05_2012,8hr,606,yes,E4-13.2,7,0.99,1.04433,1.0028,-0.0541,0.0541,t,0.0541,1.04433
Nov_05_2012,8hr,606,yes,E4-13.2,8,0.76,0.95769,0.8563,-0.1948,0.1948,t,0.1948,0.95769
Nov_05_2012,8hr,ECC4,yes,E4-13.2,1,-0.25,0.51179,0.2464,-0.7637,0.7637,t,0.7637,0.51179
Nov_05_2012,8hr,ECC4,yes,E4-13.2,2,-0.22,0.34851,0.204,-0.5725,0.5725,t,0.5725,0.34851
Nov_05_2012,8hr,ECC4,yes,E4-13.2,3,-0.04,0.34167,0.2343,-0.3776,0.3776,t,0.3776,0.34167
Nov_05_2012,8hr,ECC4,yes,E4-13.2,4,-0.41,0.38122,0.2698,-0.7885,0.7885,t,0.7885,0.38122
Nov_05_2012,8hr,ECC4,yes,E4-13.2,5,-0.21,0.50412,0.3902,-0.7114,0.7114,t,0.7114,0.50412
Nov_05_2012,8hr,ECC4,yes,E4-13.2,6,-0.23,0.47383,0.2644,-0.7019,0.7019,t,0.7019,0.47383
Nov_05_2012,8hr,ECC4,yes,E4-13.2,7,0.07,0.50037,0.4046,-0.4291,0.4291,t,0.4291,0.50037
Nov_05_2012,8hr,ECC4,yes,E4-13.2,8,-0.22,0.37447,0.2492,-0.5984,0.5984,t,0.5984,0.37447
Feb_06_2013,8hr,606,yes,A7-10.2,1,0.9,1.86129,1.5291,-0.9589,0.9589,t,0.9589,1.86129
Feb_06_2013,8hr,606,yes,A7-10.2,2,0.86,1.91701,1.5431,-1.0525,1.0525,t,1.0525,1.91701
Feb_06_2013,8hr,606,yes,A7-10.2,3,0.79,1.90517,1.5426,-1.1197,1.1197,t,1.1197,1.90517
Feb_06_2013,8hr,606,yes,A7-10.2,4,0.63,1.84148,1.5149,-1.2086,1.2086,t,1.2086,1.84148
Feb_06_2013,8hr,606,yes,A7-10.2,5,0.9,1.88187,1.5107,-0.9835,0.9835,t,0.9835,1.88187
Feb_06_2013,8hr,606,yes,A7-10.2,6,0.73,1.98107,1.5764,-1.2463,1.2463,t,1.2463,1.98107
Feb_06_2013,8hr,606,yes,A7-10.2,7,0.73,1.858,1.5096,-1.126,1.126,t,1.126,1.858
Feb_06_2013,8hr,606,yes,A7-10.2,8,0.85,1.95832,1.5768,-1.111,1.111,t,1.111,1.95832
Feb_06_2013,8hr,ECC4,yes,A7-10.2,1,-0.11,1.31618,0.9024,-1.4256,1.4256,t,1.4256,1.31618
Feb_06_2013,8hr,ECC4,yes,A7-10.2,2,0,0.98529,0.562,-0.9858,0.9858,t,0.9858,0.98529
Feb_06_2013,8hr,ECC4,yes,A7-10.2,3,0.02,0.98153,0.6252,-0.9662,0.9662,t,0.9662,0.98153
Feb_06_2013,8hr,ECC4,yes,A7-10.2,4,-0.05,1.0942,0.71,-1.1414,1.1414,t,1.1414,1.0942
Feb_06_2013,8hr,ECC4,yes,A7-10.2,5,-0.18,1.12913,0.7755,-1.31,1.31,t,1.31,1.12913
Feb_06_2013,8hr,ECC4,yes,A7-10.2,6,-0.08,1.29272,0.8785,-1.3747,1.3747,t,1.3747,1.29272
Feb_06_2013,8hr,ECC4,yes,A7-10.2,7,-0.04,0.95354,0.6361,-0.9962,0.9962,t,0.9962,0.95354
Feb_06_2013,8hr,ECC4,yes,A7-10.2,8,-0.26,1.19698,0.8541,-1.4605,1.4605,t,1.4605,1.19698
Feb_24_2013,8hr,606,yes,D9-8.2,1,0.69,1.93422,1.5545,-1.2433,1.2433,t,1.2433,1.93422
Feb_24_2013,8hr,606,yes,D9-8.2,2,0.46,1.94493,1.5133,-1.4863,1.4863,t,1.4863,1.94493
Feb_24_2013,8hr,606,yes,D9-8.2,3,0.55,1.96408,1.5768,-1.4183,1.4183,t,1.4183,1.96408
Feb_24_2013,8hr,606,yes,D9-8.2,4,0.6,1.82502,1.4908,-1.223,1.223,t,1.223,1.82502
Feb_24_2013,8hr,606,yes,D9-8.2,5,0.49,1.86334,1.4835,-1.3736,1.3736,t,1.3736,1.86334
Feb_24_2013,8hr,606,yes,D9-8.2,6,0.53,1.86131,1.522,-1.3286,1.3286,t,1.3286,1.86131
Feb_24_2013,8hr,606,yes,D9-8.2,7,0.52,1.90583,1.5019,-1.3907,1.3907,t,1.3907,1.90583
Feb_24_2013,8hr,606,yes,D9-8.2,8,0.62,1.81006,1.4628,-1.1862,1.1862,t,1.1862,1.81006
Feb_24_2013,8hr,ECC4,yes,D9-8.2,1,-0.21,0.51367,0.2003,-0.7188,0.7188,t,0.7188,0.51367
Feb_24_2013,8hr,ECC4,yes,D9-8.2,2,-0.26,0.50253,0.1067,-0.7625,0.7625,t,0.7625,0.50253
Feb_24_2013,8hr,ECC4,yes,D9-8.2,3,-0.15,0.5516,0.1887,-0.6977,0.6977,t,0.6977,0.5516
Feb_24_2013,8hr,ECC4,yes,D9-8.2,4,-0.14,0.86622,0.5103,-1.0088,1.0088,t,1.0088,0.86622
Feb_24_2013,8hr,ECC4,yes,D9-8.2,5,-0.27,0.75141,0.3201,-1.0197,1.0197,t,1.0197,0.75141
Feb_24_2013,8hr,ECC4,yes,D9-8.2,6,-0.25,0.69509,0.3175,-0.9429,0.9429,t,0.9429,0.69509
